/home/sdn/Desktop/2/application/nfv/nat.click:43: While initializing 'fr_int :: FromDevice':
  warning: s10-eth2: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/nat.click:41: While initializing 'fr_ext :: FromDevice':
  warning: s10-eth1: no IPv4 address assigned
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002c647 55b4e8c5 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002de4c 8ec6fb34 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002befb 246f43ac 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002ea5e ea433f60 86dd6000 00000010 3afffe80
nat_ce_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
nat_ce_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
nat_ce_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
nat_ce_3:   70 | 33330000 00020000 00000004 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000002 86dd6000 00000010 3afffe80
